attribute_name,description,data_domain,nullable,is_primary_key,status,source_columns,comment
Tax Financial Statement Item Id,Id tự sinh (surrogate key),Surrogate Key,false,true,draft,,PK surrogate. BCV: Reported Information (Documentation).
Tax Financial Statement Item Code,BK — ID chi tiết tờ khai trong DCST,Text,false,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.ID,BK chính. PK nguồn map vào Code.
Source System Code,Mã nguồn dữ liệu. Giá trị: DCST.TCT_BAO_CAO_CHI_TIET,Classification Value,false,false,draft,,Scheme: SOURCE_SYSTEM. Hardcode.
Tax Financial Statement Id,FK đến Tax Financial Statement,Surrogate Key,false,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.TCT_BAO_CAO_ID,FK target: Tax Financial Statement.Tax Financial Statement Id.
Tax Financial Statement Code,Mã tờ khai cha,Text,false,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.TCT_BAO_CAO_ID,FK target: Tax Financial Statement.Tax Financial Statement Code. Pair with Tax Financial Statement Id.
Line Item Code,Mã chỉ tiêu báo cáo tài chính,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.MA_CHI_TIEU,Mã định danh chỉ tiêu (VD: A100).
Line Item Name,Tên chỉ tiêu báo cáo tài chính,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.TEN_CHI_TIEU,Denormalized name tương ứng Line Item Code.
Line Item Note,Thuyết minh chỉ tiêu,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.THUYET_MINH,Ghi chú/thuyết minh bổ sung cho chỉ tiêu.
Sheet Name,Tên sheet báo cáo chứa chỉ tiêu,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.TEN_SHEET,Tên sheet trong biểu mẫu báo cáo tài chính.
Year End Amount,Số cuối năm,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_CUOI_NAM,"Nguồn VARCHAR(100) — giữ Text. Wide table: giữ nguyên các cột số liệu, không pivot."
Year Start Amount,Số đầu năm,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DAU_NAM,Nguồn VARCHAR — giữ Text.
Current Year Amount,Số năm nay (cột NAM_NAY),Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.NAM_NAY,
Prior Year Amount,Số năm trước (cột NAM_TRUOC),Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.NAM_TRUOC,
Prior Year Increase Amount,"Số tăng năm trước (cột SO_TANG_NAM_TRUOC — lưu ý: tên cột và mô tả nguồn mâu thuẫn nhau, giữ nguyên tên cột nguồn làm cơ sở)",Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_TANG_NAM_TRUOC,Ghi nhận mâu thuẫn tên cột vs mô tả trong nguồn — cần xác nhận với team DCST.
Current Year Net Amount,Số năm nay (cột SO_NAM_NAY),Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_NAM_NAY,Khác với NAM_NAY — cột riêng biệt.
Prior Year Net Amount,Số năm ngoái,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_NAM_NGOAI,
Current Year Opening Balance,Số dư đầu năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DU_DAU_NAM_NAY,Prefix nhất quán Current Year.
Current Year Closing Balance,Số dư cuối năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DU_CUOI_NAM_NAY,
Prior Year Opening Balance,Số dư đầu năm trước,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DU_DAU_NAM_TRUOC,Prefix nhất quán Prior Year.
Prior Year Closing Balance,Số dư cuối năm trước,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_DU_CUOI_NAM_TRUOC,
Current Year Increase Amount,Số tăng năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_TANG_NAM_NAY,
Current Year Decrease Amount,Số giảm năm nay,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_GIAM_NAM_NAY,
Prior Year Decrease Amount,Số giảm năm trước,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SO_GIAM_NAM_TRUOC,
Preparer Name,Người lập biểu báo cáo,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.NGUOILAPBIEU,Prefix Preparer — chủ thể khác với NNT chính.
Chief Accountant Name,Kế toán trưởng,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.KETOANTRUONG,Prefix Chief Accountant — chủ thể khác.
Report Preparation Date,Ngày lập biểu,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.NGAYLAP,Nguồn VARCHAR — giữ Text.
Director Name,Giám đốc ký báo cáo,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.GIAMDOC,Prefix Director — chủ thể khác.
Auditor License Number,Số chứng chỉ hành nghề kiểm toán viên,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.SOCHUNGCHIHANHNGHE,Prefix Auditor — nhất quán với Tax Financial Statement.
Audit Firm Name,Đơn vị cung cấp dịch vụ kiểm toán,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.DONVICCAPDVUKTOAN,Prefix Audit Firm — nhất quán với Tax Financial Statement.
Going Concern Indicator,Hoạt động liên tục,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.HOATDONGLIENTUC,"Nguồn VARCHAR(20) — giữ Text. Cần xác nhận giá trị (Y/N, 0/1...) trước khi chuyển Boolean."
Non Going Concern Indicator,Hoạt động không liên tục,Text,true,false,draft,DCST.TCT_BAO_CAO_CHI_TIET.HOATDONGKHONGLIENTUC,Đối lập với Going Concern Indicator. Giữ Text — cần xác nhận giá trị.
